Category,Product Name,Price (AUD),Contents / Face Value,New or Existing,Photo Sourced (Y/N)
$20 Prop Notes,$20 AUD Prop Note Stack,24.95,"$2,000 face value (100 notes)",Existing,
$20 Prop Notes,$20 AUD Prop Note Half Pack,16.95,"$1,000 face value (50 notes)",New,
$20 Prop Notes,$20 AUD Prop Note Jumbo Pack,49.95,"$5,000 face value (250 notes)",New,
$50 Prop Notes,$50 AUD Prop Note Stack,27.95,"$5,000 face value (100 notes)",Existing,
$50 Prop Notes,$50 AUD Prop Note Half Pack,18.95,"$2,500 face value (50 notes)",New,
$50 Prop Notes,$50 AUD Prop Note Jumbo Pack,54.95,"$12,500 face value (250 notes)",New,
$100 Prop Notes,$100 AUD Prop Note Stack,29.95,"$10,000 face value (100 notes)",Existing,
$100 Prop Notes,$100 AUD Prop Note Half Pack,19.95,"$5,000 face value (50 notes)",New,
$100 Prop Notes,$100 AUD Prop Note Jumbo Pack,59.95,"$25,000 face value (250 notes)",New,
Vintage & Legacy Series,Vintage $20 Note Stack,27.95,"$2,000 face value, older design",New,
Vintage & Legacy Series,Vintage $50 Note Stack,31.95,"$5,000 face value, older design",New,
Vintage & Legacy Series,Vintage $100 Note Stack,34.95,"$10,000 face value, older design",New,
Packs & Bundles,Mixed Denomination Starter Pack,34.95,"Approx. $3,000 mixed",Existing,
Packs & Bundles,Bulk Production Pack,89.95,"Approx. $50,000 mixed",Existing,
Packs & Bundles,Wedding & Event Pack,44.95,"Approx. $3,500 mixed",New,
Packs & Bundles,Content Creator Flex Pack,37.95,"Approx. $4,000 mixed",New,
Briefcases & Bags,"Briefcase Prop Set — $50,000",129.00,"$50,000 face value in briefcase",New,
Briefcases & Bags,"Briefcase Prop Set — $250,000",179.00,"$250,000 face value in briefcase",New,
Briefcases & Bags,"Duffel Bag Prop Set — $500,000",229.00,"$500,000 face value in duffel bag",New,
Confetti & Party Favors,Money Confetti Pack,9.95,200g pack,New,
Confetti & Party Favors,Shredded Cash Bag,16.95,500g bag,New,
Confetti & Party Favors,Money Lei (Single),12.95,One lei,New,
Confetti & Party Favors,Money Lei 3-Pack,29.95,Three leis,New,
Display & Collectibles,Complete Denomination Display Frame,89.00,One note per denomination framed,New,
Display & Collectibles,Limited Edition Collector Case,149.00,"Numbered case, full note set",New,
Display & Collectibles,Prop Money Counter (Display Only),69.00,Non-functional display prop,New,
Personalised & Novelty,Personalised Photo Prop Note Pack,34.95,20 notes with your photo,New,
Personalised & Novelty,Personalised Novelty Big Cheque,39.95,Large-format custom cheque,New,
Personalised & Novelty,Custom Message Prop Note Gift Pack,32.95,10 notes with custom message,New,
Kids Play Money,Kids Play Money Educational Set,19.95,Play money set,Existing,
Kids Play Money,Classroom Play Money Bulk Pack,59.95,Enough for 30 students,New,
Gift Sets,Prop Money Gift Box Set,39.95,"Approx. $5,000 mixed, gift-boxed",Existing,
Gift Sets,Birthday Money Gift Box,29.95,"Approx. $2,500 mixed, gift-boxed",New,
Gift Sets,Graduation Money Gift Set,34.95,"Approx. $3,000 mixed + lei",New,
Accessories,Money Gun Refill Pack ($50 Notes),16.95,"$2,500 face value per refill",Existing,
Accessories,Money Gun (Device, Refillable),24.95,Reusable device,New,
Accessories,Prop Money Display Case (Acrylic),27.95,Holds one stack,New,
Accessories,Currency Bands (Pack of 50),6.95,50 paper bands,New,
